Date, AvgTemperature, Precipitation, Snowfall, SnowDepth
12/14/2014,42,0,0,0
12/15/2014,41,0,0,0
12/16/2014,41.5,0.3,0,0
12/17/2014,49,0.03,0,0
12/18/2014,41,0,0,0
12/19/2014,36,0,0,0
12/20/2014,32.5,0,0,0
12/21/2014,35.5, T, T,0
12/22/2014,42.5,0.04,0,0
12/23/2014,48.5,0.21,0,0
12/24/2014,52,1.05,0,0
12/25/2014,49.5,0.06,0,0
12/26/2014,44.5,0,0,0
12/27/2014,45.5,0,0,0
12/28/2014,48,0.05,0,0
12/29/2014,40.5,0,0,0
12/30/2014,32,0,0,0
12/31/2014,31,0,0,0
1/1/2015,34,0,0,0
1/2/2015,40,0,0,0
1/3/2015,38.5,0.94, T,0
1/4/2015,49,0.47,0,0
1/5/2015,37,0,0,0
1/6/2015,21,0.07,1.1,0
1/7/2015,17.5,0,0,1
1/8/2015,15,0,0, T
1/9/2015,27.5,0.07,1.3,0
1/10/2015,21,0,0,1
1/11/2015,29,0,0,1
1/12/2015,37,0.7,0,0
1/13/2015,28,0,0,0
1/14/2015,26,0,0,0
1/15/2015,31,0,0,0
1/16/2015,32.5,0,0,0
1/17/2015,25,0,0,0
1/18/2015,37,1.62,0,0
1/19/2015,40, T,0,0
1/20/2015,36.5, T, T,0
1/21/2015,32, T, T,0
1/22/2015,36,0,0,0
1/23/2015,33.5, T, T,0
1/24/2015,36.5,0.75,3.4,3
1/25/2015,38.5,0,0, T
1/26/2015,28,0.33,5.1, T
1/27/2015,23.5,0.31,5.6,9
1/28/2015,25,0,0,10
1/29/2015,27,0.01, T,9
1/30/2015,28.5,0.04,0.6,9
1/31/2015,20.5,0,0,7
2/1/2015,28.5,0.03,0.3,7
2/2/2015,25,1.18,4.2,8
2/3/2015,20,0,0,8
2/4/2015,30.5,0,0,8
2/5/2015,27, T,0.1,5
2/6/2015,20,0,0,5
2/7/2015,31, T, T,4
2/8/2015,35.5,0,0,4
2/9/2015,27.5,0.14,0.1,2
2/10/2015,33, T, T,2
2/11/2015,29,0,0,2
2/12/2015,29, T, T,1
2/13/2015,16,0,0,1
2/14/2015,25.5,0.01,0.4,1
2/15/2015,16,0.01,0.3,1
2/16/2015,14,0,0,1
2/17/2015,21.5,0.19,3.5,4
2/18/2015,23, T, T,3
2/19/2015,18,0,0,2
2/20/2015,12,0,0,2
2/21/2015,22,0.59,4.5,1
2/22/2015,37.5,0.2,0.2,5
2/23/2015,23.5,0,0,3
2/24/2015,17.5,0,0,3
2/25/2015,28,0,0,2
2/26/2015,27.5, T, T,2
2/27/2015,26,0,0,2
2/28/2015,23,0,0,1
3/1/2015,26.5,0.51,3.1,1
3/2/2015,33.5, T, T,4
3/3/2015,27.5,0.7,1.2,3
3/4/2015,37,0.3,0,3
3/5/2015,31,0.73,5.8,1
3/6/2015,19,0,0,7
3/7/2015,26.5,0,0,6
3/8/2015,39, T, T,4
3/9/2015,43,0.02,0,2
3/10/2015,42,0.49,0,1
3/11/2015,51,0.02,0,0
3/12/2015,43,0,0,0
3/13/2015,35.5,0,0,0
3/14/2015,44,1.11,0,0
3/15/2015,41.5,0,0,0
3/16/2015,43,0,0,0
3/17/2015,47,0.02,0,0
3/18/2015,35.5, T, T,0
3/19/2015,37,0,0,0
3/20/2015,35.5,0.33,3,0
3/21/2015,39,0.02, T,3
3/22/2015,36.5,0,0,0
3/23/2015,32.5,0,0,0
3/24/2015,34.5,0,0,0
3/25/2015,38,0.12,0,0
3/26/2015,47.5,0.25,0,0
3/27/2015,44,0.23,0,0
3/28/2015,35, T, T,0
3/29/2015,36.5,0, T,0
3/30/2015,47, T, T,0
3/31/2015,42.5,0.03,0,0
4/1/2015,43.5,0,0,0
4/2/2015,45, T,0,0
4/3/2015,52.5,0.11,0,0
4/4/2015,50, T,0,0
4/5/2015,51.5,0,0,0
4/6/2015,49.5,0,0,0
4/7/2015,50.5,0.03,0,0
4/8/2015,42.5,0.01,0,0
4/9/2015,41, T,0,0
4/10/2015,49,0.19,0,0
4/11/2015,53,0,0,0
4/12/2015,52,0,0,0
4/13/2015,52.5,0,0,0
4/14/2015,58,0.04,0,0
4/15/2015,61,0,0,0
4/16/2015,54,0,0,0
4/17/2015,60.5,0.11,0,0
4/18/2015,62,0,0,0
4/19/2015,54.5,0,0,0
4/20/2015,52.5,0.87,0,0
4/21/2015,58.5,0.06,0,0
4/22/2015,54.5,0.19,0,0
4/23/2015,48, T,0,0
4/24/2015,45.5,0,0,0
4/25/2015,49,0,0,0
4/26/2015,51,0,0,0
4/27/2015,56,0,0,0
4/28/2015,61,0,0,0
4/29/2015,63.5,0,0,0
4/30/2015,55.5,0,0,0
5/1/2015,51.5,0,0,0
5/2/2015,52,0,0,0
5/3/2015,56.5,0,0,0
5/4/2015,62,0,0,0
5/5/2015,68.5,0,0,0
5/6/2015,62, T,0,0
5/7/2015,61.5,0,0,0
5/8/2015,62.5,0,0,0
5/9/2015,61,0.02,0,0
5/10/2015,66,0,0,0
5/11/2015,69.5,0,0,0
5/12/2015,76,0.01,0,0
5/13/2015,64,0,0,0
5/14/2015,61,0,0,0
5/15/2015,62, T,0,0
5/16/2015,64,0.41,0,0
5/17/2015,71, T,0,0
5/18/2015,62.5,0,0,0
5/19/2015,66, T,0,0
5/20/2015,61.5,0,0,0
5/21/2015,57, T,0,0
5/22/2015,66.5, T,0,0
5/23/2015,59.5,0,0,0
5/24/2015,63.5,0,0,0
5/25/2015,67,0,0,0
5/26/2015,68,0,0,0
5/27/2015,67.5, T,0,0
5/28/2015,69,0,0,0
5/29/2015,71.5,0,0,0
5/30/2015,70,0,0,0
5/31/2015,71,0.02,0,0
6/1/2015,57.5,0.78,0,0
6/2/2015,53.5,0.34,0,0
6/3/2015,60.5, T,0,0
6/4/2015,61,0,0,0
6/5/2015,63, T,0,0
6/6/2015,69,0.2,0,0
6/7/2015,63.5,0,0,0
6/8/2015,67,0.02,0,0
6/9/2015,74.5, T,0,0
6/10/2015,72,0,0,0
6/11/2015,76.5, T,0,0
6/12/2015,78,0,0,0
6/13/2015,77.5,0,0,0
6/14/2015,76,0.31,0,0
6/15/2015,73.5,1.09,0,0
6/16/2015,72.5,0.08,0,0
6/17/2015,73.5,0,0,0
6/18/2015,68, T,0,0
6/19/2015,78, T,0,0
6/20/2015,71,0.32,0,0
6/21/2015,80.5,0.51,0,0
6/22/2015,81.5,0,0,0
6/23/2015,80.5,0.02,0,0
6/24/2015,77.5,0,0,0
6/25/2015,74.5, T,0,0
6/26/2015,75,0,0,0
6/27/2015,66.5,1.02,0,0
