,base,clouds,cod,coord,dt,id,main,name,rain,snow,sys,timezone,visibility,weather,wind
33,stations,{'all': 20},200,"{'lon': -45.44, 'lat': -23.68}",1572928880,6322184,"{'temp': 298.15, 'pressure': 1012, 'humidity': 69, 'temp_min': 298.15, 'temp_max': 298.15}",Porto Novo,,,"{'type': 1, 'id': 8434, 'country': 'BR', 'sunrise': 1572941601, 'sunset': 1572988639}",-10800,10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 1, 'deg': 220}"
34,model,{'all': 5},200,"{'lon': -139.03, 'lat': -9.8}",1572928881,4020109,"{'temp': 299.96, 'pressure': 1012, 'humidity': 77, 'temp_min': 299.96, 'temp_max': 299.96, 'sea_level': 1012, 'grnd_level': 1011}",Atuona,{'3h': 0.19},,"{'country': 'PF', 'sunrise': 1572878715, 'sunset': 1572923644}",-34200,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 8.57, 'deg': 100}"
35,model,{'all': 12},200,"{'lon': 2.45, 'lat': 36.47}",1572928881,2498752,"{'temp': 289.88, 'pressure': 1012, 'humidity': 74, 'temp_min': 289.88, 'temp_max': 289.88, 'sea_level': 1012, 'grnd_level': 987}",Zaida,,,"{'country': 'DZ', 'sunrise': 1572934619, 'sunset': 1572972632}",3600,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 3.96, 'deg': 194}"
36,model,{'all': 13},200,"{'lon': 114.09, 'lat': 71.97}",1572928882,2017155,"{'temp': 246.22, 'pressure': 1025, 'humidity': 96, 'temp_min': 246.22, 'temp_max': 246.22, 'sea_level': 1025, 'grnd_level': 1014}",Saskylakh,,,"{'country': 'RU', 'sunrise': 1572918050, 'sunset': 1572935613}",32400,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]","{'speed': 2.12, 'deg': 204}"
37,stations,{'all': 90},200,"{'lon': 76.93, 'lat': 52.04}",1572928883,1524298,"{'temp': 272.15, 'pressure': 1025, 'humidity': 100, 'temp_min': 272.15, 'temp_max': 272.15}",Aksu,,,"{'type': 1, 'id': 8832, 'country': 'KZ', 'sunrise': 1572918798, 'sunset': 1572952703}",21600,5000.0,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]","{'speed': 3, 'deg': 230}"
38,stations,{'all': 40},200,"{'lon': -58.16, 'lat': 6.8}",1572928884,3378644,"{'temp': 297.15, 'pressure': 1010, 'humidity': 100, 'temp_min': 297.15, 'temp_max': 297.15}",Georgetown,,,"{'type': 1, 'id': 8767, 'country': 'GY', 'sunrise': 1572946823, 'sunset': 1572989522}",-14400,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 2.1, 'deg': 300}"
39,stations,{'all': 90},200,"{'lon': -68.31, 'lat': -54.81}",1572928884,3833367,"{'temp': 276.15, 'pressure': 974, 'humidity': 86, 'temp_min': 276.15, 'temp_max': 276.15}",Ushuaia,,,"{'type': 1, 'id': 8303, 'country': 'AR', 'sunrise': 1572942998, 'sunset': 1572998219}",-10800,10000.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 9.8, 'deg': 230}"
40,stations,{'all': 14},200,"{'lon': -88.94, 'lat': 16.17}",1572928885,3581398,"{'temp': 296.15, 'pressure': 1014, 'humidity': 100, 'temp_min': 296.15, 'temp_max': 296.15}",Laguna,{'3h': 0.5},,"{'type': 1, 'id': 7081, 'country': 'BZ', 'sunrise': 1572868438, 'sunset': 1572909877}",-21600,10000.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 0.76, 'deg': 298}"
41,model,{'all': 3},200,"{'lon': 153.71, 'lat': 67.46}",1572928886,2121025,"{'temp': 257.43, 'pressure': 1020, 'humidity': 94, 'temp_min': 257.43, 'temp_max': 257.43, 'sea_level': 1020, 'grnd_level': 1014}",Srednekolymsk,,,"{'country': 'RU', 'sunrise': 1572905043, 'sunset': 1572929602}",39600,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 1.58, 'deg': 65}"
42,model,{'all': 53},200,"{'lon': -73.76, 'lat': -42.48}",1572928886,3896218,"{'temp': 277.6, 'pressure': 1021, 'humidity': 94, 'temp_min': 277.6, 'temp_max': 277.6, 'sea_level': 1021, 'grnd_level': 971}",Castro,,,"{'country': 'CL', 'sunrise': 1572946458, 'sunset': 1572997375}",-10800,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 1.94, 'deg': 311}"
43,model,{'all': 18},200,"{'lon': 138.6, 'lat': -33.21}",1572928887,2069194,"{'temp': 294.81, 'pressure': 1017, 'humidity': 22, 'temp_min': 294.81, 'temp_max': 294.81, 'sea_level': 1017, 'grnd_level': 961}",Jamestown,,,"{'country': 'AU', 'sunrise': 1572896592, 'sunset': 1572945306}",37800,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]","{'speed': 6.37, 'deg': 271}"
44,model,{'all': 0},200,"{'lon': 102.28, 'lat': 60.35}",1572928888,2013727,"{'temp': 259.48, 'pressure': 1032, 'humidity': 73, 'temp_min': 259.48, 'temp_max': 259.48, 'sea_level': 1032, 'grnd_level': 990}",Vanavara,,,"{'country': 'RU', 'sunrise': 1572914590, 'sunset': 1572944742}",25200,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 1.67, 'deg': 305}"
45,stations,{'all': 90},200,"{'lon': -73.75, 'lat': 42.65}",1572928889,5106834,"{'temp': 281.45, 'pressure': 1023, 'humidity': 53, 'temp_min': 278.15, 'temp_max': 284.26}",Albany,,,"{'type': 1, 'id': 3273, 'country': 'US', 'sunrise': 1572867137, 'sunset': 1572903888}",-18000,16093.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 6.7, 'deg': 180, 'gust': 9.8}"
46,model,{'all': 0},200,"{'lon': 149.07, 'lat': -23.58}",1572928890,2175403,"{'temp': 306.2, 'pressure': 1009, 'humidity': 10, 'temp_min': 306.2, 'temp_max': 306.2, 'sea_level': 1009, 'grnd_level': 989}",Bluff,,,"{'country': 'AU', 'sunrise': 1572894944, 'sunset': 1572941928}",36000,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 8.83, 'deg': 188}"
47,model,{'all': 8},200,"{'lon': 148.16, 'lat': -33.9}",1572928890,2164457,"{'temp': 291.65, 'pressure': 1014, 'humidity': 28, 'temp_min': 291.65, 'temp_max': 291.65, 'sea_level': 1014, 'grnd_level': 976}",Grenfell,,,"{'country': 'AU', 'sunrise': 1572894230, 'sunset': 1572943079}",39600,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 6.16, 'deg': 227}"
48,stations,{'all': 20},200,"{'lon': 139.53, 'lat': 35.74}",1572928891,1850144,"{'temp': 292.23, 'pressure': 1013, 'humidity': 34, 'temp_min': 289.82, 'temp_max': 294.82}",Nishihara,,,"{'type': 1, 'id': 8063, 'country': 'JP', 'sunrise': 1572901623, 'sunset': 1572939828}",32400,10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]","{'speed': 2.1, 'deg': 360}"
49,model,{'all': 50},200,"{'lon': -65.02, 'lat': -0.41}",1572928892,3662489,"{'temp': 296.98, 'pressure': 1007, 'humidity': 85, 'temp_min': 296.98, 'temp_max': 296.98, 'sea_level': 1007, 'grnd_level': 1001}",Santa Isabel do Rio Negro,,,"{'country': 'BR', 'sunrise': 1572947984, 'sunset': 1572991653}",-14400,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 0.67, 'deg': 303}"
50,stations,{'all': 20},200,"{'lon': 134.5, 'lat': 33.93}",1572928893,1865309,"{'temp': 289.61, 'pressure': 1016, 'humidity': 48, 'temp_min': 289.15, 'temp_max': 290.15}",Katsuura,,,"{'type': 1, 'id': 8027, 'country': 'JP', 'sunrise': 1572902656, 'sunset': 1572941210}",32400,10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]","{'speed': 5.7, 'deg': 20}"
51,model,{'all': 10},200,"{'lon': 73.61, 'lat': 23.13}",1572928893,1264700,"{'temp': 303.77, 'pressure': 1013, 'humidity': 46, 'temp_min': 303.77, 'temp_max': 303.77, 'sea_level': 1013, 'grnd_level': 1002}",Lunavada,,,"{'country': 'IN', 'sunrise': 1572916356, 'sunset': 1572956738}",19800,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 1.14, 'deg': 178}"
52,model,{'all': 100},200,"{'lon': 166.1, 'lat': 60.47}",1572928894,2120591,"{'temp': 274.14, 'pressure': 1013, 'humidity': 98, 'temp_min': 274.14, 'temp_max': 274.14, 'sea_level': 1013, 'grnd_level': 1000}",Tilichiki,,{'3h': 0.5},"{'country': 'RU', 'sunrise': 1572899280, 'sunset': 1572929417}",43200,,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]","{'speed': 3.47, 'deg': 49}"
53,stations,{'all': 3},200,"{'lon': -52.33, 'lat': 4.94}",1572928895,3382160,"{'temp': 297.15, 'pressure': 1009, 'humidity': 94, 'temp_min': 297.15, 'temp_max': 297.15}",Cayenne,,,"{'type': 1, 'id': 8669, 'country': 'GF', 'sunrise': 1572945298, 'sunset': 1572988248}",-10800,9000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 2.45, 'deg': 108}"
54,model,{'all': 63},200,"{'lon': -56.15, 'lat': 72.79}",1572928896,3418910,"{'temp': 261.08, 'pressure': 1007, 'humidity': 64, 'temp_min': 261.08, 'temp_max': 261.08, 'sea_level': 1007, 'grnd_level': 1005}",Upernavik,,,"{'country': 'GL', 'sunrise': 1572960133, 'sunset': 1572975247}",-10800,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 1.28, 'deg': 25}"
55,model,{'all': 0},200,"{'lon': -60.23, 'lat': -38.31}",1572928896,3833859,"{'temp': 280.11, 'pressure': 1012, 'humidity': 61, 'temp_min': 280.11, 'temp_max': 280.11, 'sea_level': 1012, 'grnd_level': 1003}",Barrow,,,"{'country': 'AR', 'sunrise': 1572943732, 'sunset': 1572993607}",-10800,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 3.4, 'deg': 334}"
56,model,{'all': 100},200,"{'lon': 139.9, 'lat': 69.3}",1572928897,2028164,"{'temp': 258.3, 'pressure': 1022, 'humidity': 96, 'temp_min': 258.3, 'temp_max': 258.3, 'sea_level': 1022, 'grnd_level': 964}",Deputatskiy,,{'3h': 0.69},"{'country': 'RU', 'sunrise': 1572909506, 'sunset': 1572931768}",36000,,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]","{'speed': 1.14, 'deg': 55}"
57,model,{'all': 100},200,"{'lon': -46.05, 'lat': 60.91}",1572928897,3421719,"{'temp': 272.54, 'pressure': 994, 'humidity': 72, 'temp_min': 272.54, 'temp_max': 272.54, 'sea_level': 994, 'grnd_level': 964}",Narsaq,,{'3h': 1.06},"{'country': 'GL', 'sunrise': 1572950423, 'sunset': 1572980109}",-10800,,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]","{'speed': 5.09, 'deg': 58}"
58,model,{'all': 41},200,"{'lon': 173.16, 'lat': -35.17}",1572928898,2194098,"{'temp': 290.54, 'pressure': 1014, 'humidity': 76, 'temp_min': 290.54, 'temp_max': 290.54, 'sea_level': 1014, 'grnd_level': 1013}",Ahipara,,,"{'country': 'NZ', 'sunrise': 1572888102, 'sunset': 1572937206}",46800,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 1.45, 'deg': 306}"
